Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.008082 0.362515 -0.690324 0.838184 -1.664215 4.253358 6.492282 14.714520 29.572100 14.783688 
-0.008125 0.479602 -0.597948 0.911288 -1.663417 4.288560 6.527908 14.690299 29.576172 14.810337 
-0.008168 0.498171 -0.470071 0.962601 -1.653621 4.322925 6.563369 14.666031 29.580217 14.836978 
-0.008210 0.428298 -0.314179 0.990680 -1.634791 4.356443 6.598665 14.641715 29.584236 14.863609 
-0.008250 0.283138 -0.139556 0.994608 -1.606928 4.389108 6.633795 14.617352 29.588226 14.890232 
-0.008290 0.081351 0.043189 0.974038 -1.570073 4.420911 6.668757 14.592943 29.592190 14.916845 
-0.008329 -0.142945 0.222716 0.929227 -1.524309 4.451846 6.703551 14.568487 29.596127 14.943450 
-0.008367 -0.317621 0.387650 0.861049 -1.469762 4.481905 6.738175 14.543983 29.600035 14.970045 
-0.008404 -0.321757 0.527330 0.771003 -1.406606 4.511080 6.772629 14.519433 29.603916 14.996631 
-0.008440 -0.132398 0.632575 0.661188 -1.335066 4.539366 6.806911 14.494836 29.607771 15.023208 
-0.008475 0.113625 0.696382 0.534264 -1.255417 4.566756 6.841022 14.470192 29.611597 15.049775 
-0.008509 0.322934 0.714480 0.393389 -1.167992 4.593242 6.874959 14.445502 29.615396 15.076334 
-0.008541 0.460171 0.685674 0.242138 -1.073184 4.618819 6.908723 14.420766 29.619169 15.102883 
-0.008573 0.512898 0.611942 0.084396 -0.971447 4.643480 6.942311 14.395983 29.622913 15.129424 
-0.008604 0.476461 0.498256 -0.075756 -0.863300 4.667220 6.975723 14.371154 29.626631 15.155955 
-0.008633 0.350336 0.352174 -0.234167 -0.749330 4.690032 7.008958 14.346278 29.630322 15.182477 
-0.008662 0.142036 0.183241 -0.386744 -0.630191 4.711912 7.042016 14.321357 29.633984 15.208990 
-0.008689 -0.115140 0.002278 -0.529580 -0.506611 4.732853 7.074894 14.296389 29.637619 15.235494 
-0.008716 -0.319749 -0.179365 -0.659068 -0.379385 4.752851 7.107593 14.271375 29.641228 15.261988 
-0.008742 -0.329617 -0.350533 -0.772001 -0.249377 4.771901 7.140110 14.246315 29.644808 15.288473 
-0.008767 -0.173754 -0.500923 -0.865659 -0.117521 4.789998 7.172447 14.221209 29.648361 15.314949 
-0.008791 0.038272 -0.621636 -0.937869 0.015192 4.807136 7.204600 14.196056 29.651888 15.341415 
-0.008815 0.239153 -0.705621 -0.987045 0.147714 4.823312 7.236570 14.170858 29.655386 15.367873 
-0.008837 0.393369 -0.748007 -1.012213 0.278948 4.838522 7.268356 14.145615 29.658857 15.394321 
-0.008859 0.478683 -0.746324 -1.013006 0.407765 4.852762 7.299957 14.120325 29.662302 15.420760 
-0.008880 0.477283 -0.700618 -0.989654 0.533012 4.866028 7.331371 14.094991 29.665718 15.447189 
-0.008900 0.373279 -0.613463 -0.942953 0.653530 4.878317 7.362598 14.069611 29.669107 15.473610 
-0.008919 0.159465 -0.489860 -0.874223 0.768171 4.889625 7.393637 14.044185 29.672470 15.500021 
-0.008938 -0.127548 -0.337028 -0.785261 0.875815 4.899949 7.424487 14.018714 29.675804 15.526423 
-0.008955 -0.342571 -0.164065 -0.678289 0.975393 4.909286 7.455147 13.993197 29.679111 15.552814 
-0.008972 -0.366992 0.018517 -0.555891 1.065906 4.917634 7.485616 13.967636 29.682390 15.579198 
-0.008987 -0.252604 0.199376 -0.420955 1.146444 4.924990 7.515894 13.942030 29.685642 15.605572 
-0.009002 -0.074597 0.367044 -0.276614 1.216205 4.931352 7.545979 13.916378 29.688868 15.631936 
-0.009015 0.116453 0.510683 -0.126179 1.274510 4.936718 7.575871 13.890681 29.692064 15.658291 
-0.009028 0.285712 0.620869 0.026922 1.320815 4.941086 7.605568 13.864940 29.695234 15.684636 
-0.009039 0.403922 0.690296 0.179207 1.354724 4.944456 7.635070 13.839153 29.698378 15.710972 
-0.009049 0.440726 0.714358 0.327201 1.375990 4.946825 7.664376 13.813322 29.701492 15.737299 
-0.009058 0.361773 0.691506 0.467506 1.384519 4.948192 7.693485 13.787446 29.704580 15.763617 
-0.009066 0.141689 0.623363 0.596861 1.380366 4.948556 7.722396 13.761525 29.707640 15.789925 
-0.009073 -0.163457 0.514563 0.712207 1.363731 4.947918 7.751108 13.735560 29.710672 15.816223 
-0.009078 -0.374246 0.372363 0.810759 1.334945 4.946277 7.779621 13.709551 29.713678 15.842512 
-0.009083 -0.423336 0.206062 0.890062 1.294461 4.943632 7.807933 13.683496 29.716656 15.868792 
-0.009086 -0.351425 0.026308 0.948062 1.242840 4.939984 7.836044 13.657398 29.719606 15.895061 
-0.009088 -0.206482 -0.155634 0.983164 1.180736 4.935333 7.863953 13.631255 29.722528 15.921322 
-0.009089 -0.026261 -0.328602 0.994288 1.108878 4.929679 7.891658 13.605068 29.725424 15.947573 
-0.009090 0.156901 -0.482185 0.980912 1.028057 4.923024 7.919160 13.578837 29.728292 15.973814 
-0.009089 0.309032 -0.607286 0.943118 0.939113 4.915369 7.946457 13.552563 29.731133 16.000046 
-0.009087 0.386764 -0.696576 0.881604 0.842914 4.906713 7.973548 13.526244 29.733946 16.026268 
-0.009084 0.332126 -0.744843 0.797696 0.740353 4.897060 8.000434 13.499882 29.736731 16.052481 
-0.009080 0.104080 -0.749238 0.693334 0.632330 4.886411 8.027112 13.473475 29.739489 16.078684 
-0.009075 -0.194863 -0.709415 0.571033 0.519743 4.874768 8.053582 13.447025 29.742220 16.104877 
-0.009069 -0.400516 -0.627570 0.433827 0.403483 4.862133 8.079844 13.420531 29.744923 16.131062 
-0.009062 -0.476957 -0.508366 0.285189 0.284425 4.848508 8.105895 13.393993 29.747599 16.157236 
-0.009055 -0.444962 -0.358748 0.128934 0.163423 4.833896 8.131736 13.367413 29.750246 16.183401 
-0.009046 -0.331856 -0.187617 -0.030898 0.041303 4.818300 8.157365 13.340788 29.752867 16.209557 
-0.009036 -0.163523 -0.005383 -0.190162 -0.081134 4.801723 8.182782 13.314120 29.755461 16.235703 
-0.009026 0.032523 0.176621 -0.344741 -0.203123 4.784169 8.207986 13.287409 29.758026 16.261839 
-0.009014 0.219635 0.346844 -0.490670 -0.323929 4.765641 8.232976 13.260654 29.760565 16.287966 
-0.009001 0.339147 0.494282 -0.624253 -0.442852 4.746143 8.257751 13.233857 29.763075 16.314083 
-0.008988 0.302423 0.609275 -0.742172 -0.559226 4.725678 8.282311 13.207017 29.765558 16.340191 
-0.008973 0.074512 0.684228 -0.841570 -0.672420 4.704252 8.306656 13.180134 29.768013 16.366289 
-0.008957 -0.200058 0.714206 -0.920119 -0.781839 4.681869 8.330783 13.153208 29.770441 16.392378 
-0.008940 -0.402873 0.697313 -0.976070 -0.886920 4.658532 8.354692 13.126239 29.772842 16.418457 
-0.008923 -0.505352 0.634815 -1.008274 -0.987136 4.634248 8.378384 13.099227 29.775215 16.444527 
