Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.002507 -0.161520 -0.094082 -0.092866 -1.357094 -1.049629 -6.669016 13.742687 -3.781301 -30.823503 
0.002427 0.033578 -0.269004 -0.247077 -1.302868 -0.978954 -6.631415 13.766728 -3.752698 -30.816809 
0.002347 0.222101 -0.427660 -0.395349 -1.237248 -0.908083 -6.593645 13.790725 -3.724092 -30.810095 
0.002266 0.347482 -0.560393 -0.534242 -1.160626 -0.837030 -6.555705 13.814677 -3.695482 -30.803364 
0.002186 0.322790 -0.658931 -0.660592 -1.073532 -0.765808 -6.517598 13.838585 -3.666868 -30.796614 
0.002104 0.103510 -0.716904 -0.771566 -0.976629 -0.694432 -6.479324 13.862448 -3.638252 -30.789845 
0.002023 -0.173705 -0.730298 -0.864711 -0.870712 -0.622916 -6.440885 13.886266 -3.609632 -30.783058 
0.001941 -0.382789 -0.697797 -0.937989 -0.756694 -0.551274 -6.402279 13.910039 -3.581008 -30.776253 
0.001859 -0.491406 -0.620992 -0.989810 -0.635599 -0.479521 -6.363510 13.933767 -3.552382 -30.769428 
0.001777 -0.501944 -0.504387 -1.019051 -0.508543 -0.407671 -6.324577 13.957451 -3.523752 -30.762587 
0.001694 -0.424989 -0.355198 -1.025074 -0.376715 -0.335739 -6.285482 13.981089 -3.495119 -30.755726 
0.001611 -0.274131 -0.182915 -1.007737 -0.241359 -0.263738 -6.246226 14.004682 -3.466482 -30.748846 
0.001528 -0.068915 0.001338 -0.967390 -0.103750 -0.191685 -6.206809 14.028229 -3.437843 -30.741949 
0.001444 0.154431 0.185603 -0.904883 0.034826 -0.119592 -6.167232 14.051731 -3.409200 -30.735033 
0.001361 0.319552 0.357961 -0.821548 0.173099 -0.047475 -6.127496 14.075188 -3.380554 -30.728098 
0.001277 0.305135 0.507394 -0.719187 0.309829 0.024652 -6.087602 14.098598 -3.351905 -30.721146 
0.001194 0.105007 0.624543 -0.600048 0.443826 0.096774 -6.047552 14.121964 -3.323252 -30.714174 
0.001111 -0.141089 0.702305 -0.466792 0.573971 0.168876 -6.007345 14.145283 -3.294597 -30.707184 
0.001027 -0.345650 0.736218 -0.322449 0.699220 0.240944 -5.966984 14.168556 -3.265939 -30.700176 
0.000944 -0.476256 0.724648 -0.170367 0.818621 0.312964 -5.926468 14.191784 -3.237278 -30.693150 
0.000861 -0.521575 0.668764 -0.014144 0.931318 0.384920 -5.885799 14.214966 -3.208613 -30.686106 
0.000778 -0.477471 0.572361 0.142445 1.036554 0.456798 -5.844978 14.238102 -3.179946 -30.679043 
0.000695 -0.343957 0.441548 0.295539 1.133674 0.528583 -5.804006 14.261191 -3.151276 -30.671961 
0.000612 -0.129838 0.284343 0.441289 1.222125 0.600262 -5.762884 14.284235 -3.122603 -30.664862 
0.000530 0.127903 0.110208 0.575958 1.301452 0.671818 -5.721612 14.307232 -3.093927 -30.657743 
0.000447 0.320911 -0.070466 0.696037 1.371294 0.743238 -5.680192 14.330182 -3.065248 -30.650608 
0.000365 0.313138 -0.246905 0.798351 1.431379 0.814507 -5.638625 14.353086 -3.036566 -30.643454 
0.000283 0.148314 -0.408506 0.880159 1.481522 0.885610 -5.596911 14.375944 -3.007882 -30.636282 
0.000201 -0.065373 -0.545416 0.939254 1.521614 0.956534 -5.555052 14.398755 -2.979195 -30.629091 
